,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
GPN,,3.0,1.0,3.0,3.0,2.0,1.0,2.0,,2.0,3.0,,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,,1.0,1.0,2.0,2.0,2.0,2.0
GRMN,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GS,,3.0,1.0,3.0,,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,0.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,1.0,4.0,,3.0,0.0,1.0,,1.0,2.0,1.0,,0.0,0.0,1.0
GT,3.0,1.0,2.0,2.0,,2.0,2.0,3.0,,2.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0
GTLS,1.0,1.0,3.0,3.0,,3.0,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
DEO,3.0,,3.0,,3.0,,3.0,,,,3.0,,3.0,,3.0,,3.0,,,,3.0,,3.0,,3.0,,1.0,,3.0,,3.0,,3.0,,3.0,,3.0,,1.0,,1.0,,1.0,
GWPH,,,,,,0.0,3.0,0.0,,,1.0,1.0,,1.0,,0.0,,,1.0,,1.0,0.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
MNST,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
HBI,2.0,,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,1.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,3.0,,3.0,3.0,3.0,3.0
HCA,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,3.0,1.0,4.0,,,4.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,4.0
HD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0
HLF,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,,,,,1.0,,,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,,2.0,
HIG,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,0.0,,,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0
HLT,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,1.0,,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0
HST,,3.0,3.0,3.0,,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,,3.0,1.0,2.0,1.0,1.0,,3.0,3.0,2.0,3.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
HOLX,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,0.0,0.0,3.0,3.0,3.0,,0.0
HP,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,1.0,2.0,2.0,3.0,0.0,,1.0,,1.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
HUN,,1.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,,1.0,1.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,4.0,,4.0,0.0,1.0,2.0,3.0,0.0,0.0
